"crash_date","crash_time","borough","zip_code","latitude","longitude","location","on_street_name","off_street_name","cross_street_name","number_of_persons_injured","number_of_persons_killed","number_of_pedestrians_injured","number_of_pedestrians_killed","number_of_cyclist_injured","number_of_cyclist_killed","number_of_motorist_injured","number_of_motorist_killed","contributing_factor_vehicle_1","contributing_factor_vehicle_2","contributing_factor_vehicle_3","contributing_factor_vehicle_4","contributing_factor_vehicle_5","collision_id","vehicle_type_code1","vehicle_type_code2","vehicle_type_code_3","vehicle_type_code_4","vehicle_type_code_5"
"2021-12-14T00:00:00.000","3:43",,,"40.804375","-73.93742","
,  
(40.804375, -73.93742)","LEXINGTON AVENUE",,,"1","0","1","0","0","0","0","0","Unspecified",,,,,"4486304","Station Wagon/Sport Utility Vehicle",,,,
"2021-12-13T00:00:00.000","17:40","STATEN ISLAND","10301","40.63165","-74.08762","
,  
(40.63165, -74.08762)","VICTORY BOULEVARD","WOODSTOCK AVENUE",,"1","0","0","0","0","0","1","0","Unspecified","Unspecified",,,,"4487001","Sedan","Sedan",,,
"2021-12-14T00:00:00.000","17:31","BROOKLYN","11230","40.623104","-73.95809","
,  
(40.623104, -73.95809)","EAST 18 STREET","AVENUE K",,"1","0","1","0","0","0","0","0","Unspecified",,,,,"4486516","Sedan",,,,
"2021-12-14T00:00:00.000","20:13","BROOKLYN","11215","40.66576","-73.9845","
,  
(40.66576, -73.9845)",,,"366       12 STREET","0","0","0","0","0","0","0","0","Passing Too Closely","Unspecified",,,,"4486605","Sedan",,,,
"2021-12-14T00:00:00.000","12:54","BROOKLYN","11217","40.687534","-73.9775","
,  
(40.687534, -73.9775)","FULTON STREET","SAINT FELIX STREET",,"1","0","0","0","1","0","0","0","Unspecified","Unspecified",,,,"4487052","Sedan","Bike",,,
"2021-12-14T00:00:00.000","17:15","BROOKLYN","11211","40.710957","-73.951126","
,  
(40.710957, -73.951126)","GRAND STREET","UNION AVENUE",,"1","0","0","0","0","0","1","0","Passing or Lane Usage Improper","Unspecified",,,,"4486556","Bus","Station Wagon/Sport Utility Vehicle",,,
"2021-12-14T00:00:00.000","22:49","BRONX","10455","40.81813","-73.910126","
,  
(40.81813, -73.910126)",,,"713       EAGLE AVENUE","0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4486875","Taxi",,,,
"2021-12-12T00:00:00.000","9:00","QUEENS","11385","40.70447","-73.90148","
,  
(40.70447, -73.90148)",,,"59-14     67 AVENUE","0","0","0","0","0","0","0","0","Passing Too Closely","Unspecified",,,,"4486933","Station Wagon/Sport Utility Vehicle",,,,
"2021-12-14T00:00:00.000","16:25",,,"40.784615","-73.953964","
,  
(40.784615, -73.953964)","EAST 93 STREET",,,"1","0","0","0","1","0","0","0","Driver Inattention/Distraction","Driver Inattention/Distraction",,,,"4486581","Van","Bike",,,
"2021-04-14T00:00:00.000","14:30",,,,,,"EASTCHESTER ROAD","PELHAM PARKWAY NORTH",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4407520","Bus",,,,
"2021-12-16T00:00:00.000","6:59",,,,,,"KINGSLAND AVENUE","MEEKER AVENUE",,"1","0","1","0","0","0","0","0","Traffic Control Disregarded",,,,,"4486960",,,,,
"2022-06-29T00:00:00.000","16:00",,,,,,"WILLIAMSBURG BRIDGE OUTER ROADWA",,,"1","0","0","0","0","0","1","0","Driver Inattention/Distraction","Unspecified",,,,"4542336","Motorscooter","Station Wagon/Sport Utility Vehicle",,,
"2021-04-15T00:00:00.000","16:15",,,,,,"HUTCHINSON RIVER PARKWAY",,,"0","0","0","0","0","0","0","0","Pavement Slippery",,,,,"4407665","Station Wagon/Sport Utility Vehicle",,,,
"2021-07-07T00:00:00.000","11:42",,,,,,"THROGS NECK BRIDGE",,,"1","0","0","0","0","0","1","0","Unsafe Lane Changing","Unspecified",,,,"4456591","Sedan","Sedan",,,
"2022-07-12T00:00:00.000","17:50","BROOKLYN","11225","40.663303","-73.96049","
,  
(40.663303, -73.96049)",,,"44        EMPIRE BOULEVARD","0","0","0","0","0","0","0","0","Oversized Vehicle","Unspecified",,,,"4545699","Sedan",,,,
"2022-03-23T00:00:00.000","10:00",,,,,,,,"71        EAST DRIVE","0","0","0","0","0","0","0","0","Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",,,,,"4512922","Bike",,,,
"2021-07-09T00:00:00.000","0:43",,,"40.720535","-73.88885","
,  
(40.720535, -73.88885)","ELIOT AVENUE",,,"0","1","0","1","0","0","0","0","Unspecified",,,,,"4456659","Bus",,,,
"2022-04-24T00:00:00.000","16:45",,,"40.607685","-74.13892","
,  
(40.607685, -74.13892)","STATEN ISLAND EXPRESSWAY",,,"1","0","0","0","0","0","1","0","Driver Inattention/Distraction","Unspecified",,,,"4521660","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"2022-04-24T00:00:00.000","4:49",,,"40.855972","-73.869896","
,  
(40.855972, -73.869896)","BOSTON ROAD","BRONX PARK EAST",,"0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4521759","Station Wagon/Sport Utility Vehicle","Sedan",,,
"2022-04-22T00:00:00.000","17:17",,,"40.790276","-73.9396","
,  
(40.790276, -73.9396)","EAST 107 STREET",,,"1","0","1","0","0","0","0","0","Traffic Control Disregarded",,,,,"4522226","E-Bike",,,,
"2022-04-24T00:00:00.000","1:30","BROOKLYN","11220","40.642986","-74.01621","
,  
(40.642986, -74.01621)",,,"5610      4 AVENUE","0","0","0","0","0","0","0","0","Unspecified",,,,,"4522015","Station Wagon/Sport Utility Vehicle",,,,
"2022-04-24T00:00:00.000","6:00","QUEENS","11411","0.0000000","0.0000000","
,  
(0.0, 0.0)",,,"116-44    234 STREET","0","0","0","0","0","0","0","0","Unsafe Lane Changing","Unspecified",,,,"4521460","Sedan","Station Wagon/Sport Utility Vehicle",,,
"2022-04-24T00:00:00.000","21:40","BRONX","10452","40.843906","-73.92413","
,  
(40.843906, -73.92413)","BOSCOBEL PLACE","UNIVERSITY AVENUE",,"0","0","0","0","0","0","0","0","Alcohol Involvement","Unspecified",,,,"4522156","Taxi","Station Wagon/Sport Utility Vehicle",,,
"2022-04-24T00:00:00.000","17:45","BRONX","10466","40.89481","-73.86183","
,  
(40.89481, -73.86183)","BRONX RIVER PARKWAY","EAST 233 STREET",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4521633","Sedan",,,,
"2022-04-15T00:00:00.000","6:11",,,"0.0000000","0.0000000","
,  
(0.0, 0.0)","EAST 162 STREET",,,"1","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4522124","Station Wagon/Sport Utility Vehicle","E-Scooter",,,
"2022-04-24T00:00:00.000","9:51",,,"40.85169","-73.95238","
,  
(40.85169, -73.95238)","CROSS BRONX EXPY",,,"0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4521937","Sedan",,,,
